Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-23:00,21.4,12.875,92.564,1191.757,229.014,347.377,326.687,1.552,521.84,6.0,16.822,45.969,60.485,328.41,303.215,152.918,763.072,1293.557,291.099,49.835,252.072,29.53
1-01:00,18.9,12.542,94.741,1188.212,302.073,346.808,323.35,1.488,541.015,6.031,16.822,45.231,60.042,328.464,304.22,155.932,803.101,1293.109,377.297,46.899,251.792,29.64
1-06:00,16.1,16.292,68.645,1094.883,245.962,344.478,321.061,1.571,509.786,6.08,16.865,47.121,60.236,325.376,301.572,152.409,659.302,1030.21,468.414,48.747,252.169,30.94
1-08:00,14.23,15.35,85.518,1171.604,198.538,344.014,325.195,1.436,628.245,6.02,18.55,46.201,65.225,322.103,298.517,165.814,826.243,907.641,595.875,52.807,249.58,30.34
1-10:00,12.17,12.667,114.57,1253.584,188.043,350.765,332.17,1.44,683.41,6.068,18.552,46.949,76.147,328.278,302.245,162.915,537.597,984.72,51.967,53.475,249.036,30.23
1-12:00,14.53,10.833,93.121,1202.818,339.119,342.535,324.194,1.258,601.694,6.049,18.447,45.057,63.969,322.04,299.894,146.584,602.04,838.948,48.632,41.508,251.63,30.65
1-14:00,24.3,13.917,87.835,1190.889,390.14,341.081,320.888,1.346,492.543,6.058,18.354,43.83,54.213,319.974,295.58,136.052,663.228,995.42,47.068,35.51,252.662,30.21
1-16:00,24.7,14.142,80.809,1171.734,104.205,340.222,319.779,1.367,562.988,6.103,18.353,44.9,61.146,318.922,295.046,159.875,734.588,997.246,239.941,45.045,252.459,30.44
1-18:00,23.6,14.017,84.943,1189.913,224.176,341.61,321.956,1.434,586.588,6.054,18.396,45.715,62.809,318.821,296.005,162.546,741.2,996.419,0.0,47.162,252.001,29.97
1-20:00,22.0,14.817,76.696,1220.75,228.285,343.42,321.58,1.492,624.583,6.089,18.404,46.579,64.661,319.586,297.159,172.581,796.285,994.925,400.079,48.084,251.37,30.44
1-22:00,20.7,16.208,75.314,1220.714,250.234,343.197,321.132,1.475,599.914,6.089,18.352,45.041,61.019,319.353,296.842,161.274,618.774,995.344,490.574,47.427,251.879,29.99
2-00:00,17.8,15.708,81.625,1282.194,186.236,346.299,323.116,1.561,664.611,6.066,18.251,45.348,66.848,319.853,297.387,170.228,722.687,997.741,0.0,53.741,251.243,30.3
2-01:00,17.0,15.067,87.395,1284.704,265.526,346.757,325.008,1.496,681.701,6.013,18.257,46.979,72.717,320.411,299.02,179.245,811.747,994.015,371.605,51.784,250.872,29.85
2-03:00,19.53,14.7,86.95,1291.208,311.74,346.411,325.537,1.453,665.781,6.0,18.155,46.566,72.204,320.093,298.28,177.49,800.709,995.302,314.19,48.965,251.101,30.05
2-05:00,20.8,15.017,80.738,1283.069,311.598,350.551,323.014,1.426,621.836,6.074,18.045,45.644,64.355,319.491,297.193,166.361,732.351,995.923,493.573,47.199,251.604,29.88
2-07:00,22.38,15.108,76.453,1283.128,279.875,351.06,323.533,1.492,614.969,6.087,17.961,45.818,65.917,319.607,296.332,170.19,745.982,995.302,510.837,47.551,251.752,29.88
2-09:00,20.74,15.708,79.89,1254.937,245.464,353.38,325.313,1.5,652.405,6.093,17.953,46.201,69.625,320.894,296.939,179.385,826.904,994.848,503.35,52.17,251.253,29.72
2-11:00,18.86,13.55,91.876,1244.918,157.417,357.865,330.227,1.393,688.72,6.144,17.85,46.167,72.997,322.716,298.414,187.665,858.439,995.964,83.763,54.684,250.399,29.8
2-14:00,24.7,16.183,72.611,1231.362,332.497,350.938,322.801,1.455,564.87,6.115,17.759,44.043,60.175,319.644,296.799,159.557,670.349,1013.14,461.896,39.376,251.426,29.35
2-16:00,23.5,16.542,80.093,1246.777,198.217,350.521,323.513,1.474,596.506,6.19,17.75,43.986,65.556,319.151,296.025,153.147,843.689,1092.75,419.893,48.904,251.345,30.39
2-18:00,21.8,15.467,79.303,1228.541,204.661,352.321,323.737,1.428,670.156,6.195,17.754,46.303,70.678,320.266,297.618,182.769,833.72,1122.17,414.797,53.493,250.424,29.91
2-20:00,23.3,16.742,73.689,1233.677,303.943,352.993,323.533,1.464,624.176,6.2,17.755,45.102,68.114,321.016,297.472,177.16,766.784,1128.702,448.512,47.535,250.719,29.84
2-22:00,21.5,16.817,78.969,1237.844,285.892,353.644,324.5,1.437,621.887,6.215,17.757,47.46,68.75,321.235,296.616,176.46,852.132,1141.946,344.089,52.043,250.678,29.7
3-01:00,18.9,15.067,83.178,1245.584,106.11,362.677,330.216,1.48,676.106,6.211,17.798,46.345,71.263,324.407,297.655,186.241,707.326,1142.856,0.0,54.0,250.083,31.03
3-03:00,16.2,13.55,93.163,1199.476,145.933,360.134,325.11,1.437,665.934,6.226,17.797,46.362,70.2,323.619,299.095,185.122,846.13,1017.32,0.0,51.024,250.155,31.07
3-05:00,20.6,13.42,80.236,1218.92,311.776,356.528,327.719,1.28,602.711,6.259,17.797,46.33,65.642,321.832,296.767,169.503,744.863,999.97,153.735,44.405,250.317,31.344
3-07:00,26.5,16.3,75.411,1229.199,358.256,352.871,325.69,1.416,531.174,6.25,17.81,45.762,59.183,319.99,296.154,149.077,701.273,1026.333,259.773,42.596,250.775,31.91
3-09:00,24.2,16.458,75.625,1244.665,270.511,355.729,328.243,1.484,611.104,6.24,17.898,46.846,70.49,321.568,297.158,171.818,845.316,1037.773,405.866,47.239,250.185,32.02
3-12:00,19.38,14.808,88.141,1246.467,277.329,357.52,330.745,1.407,638.519,6.25,17.271,48.456,74.828,323.218,299.259,183.086,824.157,1016.885,3.189,50.805,250.246,31.47
3-14:00,18.48,14.692,83.875,1249.042,313.769,356.736,330.817,1.329,591.166,6.163,17.091,47.708,71.491,322.343,296.754,171.423,1004.109,873.657,290.629,51.299,250.236,31.33
3-16:00,19.77,14.417,90.656,1257.845,342.359,355.068,329.331,1.368,585.418,6.24,17.904,47.056,67.387,321.513,296.9,162.24,900.655,975.961,1.328,48.394,249.478,31.13
3-18:00,19.3,14.433,88.703,1280.284,275.798,362.372,329.83,1.31,590.301,6.198,17.98,47.437,71.715,322.412,297.129,159.08,952.229,898.374,503.813,50.711,248.954,31.41
3-20:00,23.71,15.433,82.792,1277.76,342.858,364.508,328.355,1.474,576.212,6.165,17.995,47.054,66.395,321.396,296.667,158.387,969.726,893.16,389.143,47.404,249.539,31.64
3-23:00,21.6,15.033,86.998,1284.668,280.871,364.976,329.189,1.4,633.229,6.194,18.2,46.764,71.008,321.979,298.587,167.277,859.354,995.551,194.496,50.608,248.751,31.49
4-01:00,20.9,15.408,75.76,1277.817,327.156,363.928,329.128,1.356,629.771,6.236,18.2,47.489,71.649,321.499,297.111,170.597,867.289,1015.97,577.984,51.798,248.624,31.03
4-03:00,24.2,16.7,78.434,1287.619,344.674,362.799,328.935,1.553,606.119,6.23,18.199,48.066,71.263,321.226,297.391,167.074,940.124,1102.843,598.171,50.595,248.578,31.38
4-05:00,18.0,16.125,79.956,1289.283,66.082,367.427,332.322,1.431,686.279,6.22,18.287,48.628,75.067,322.399,295.44,177.999,930.359,1129.319,550.796,56.761,248.496,31.16
4-07:00,17.7,14.075,91.774,1291.721,167.936,367.234,332.21,1.449,671.122,6.22,18.206,48.6,74.579,322.913,297.103,175.226,949.28,1144.876,76.55,52.766,248.924,30.98
4-10:00,19.95,13.367,98.838,1293.948,332.497,364.488,328.589,1.286,586.232,6.213,18.204,49.086,71.217,321.557,299.476,157.903,910.217,942.13,0.0,46.018,249.417,31.52
4-12:00,22.8,14.767,77.912,1286.968,339.582,363.359,326.025,1.23,569.295,6.149,18.367,48.588,66.085,320.21,297.125,150.501,786.468,960.45,416.05,43.316,251.955,30.33
4-14:00,24.0,16.283,76.717,1262.337,329.827,362.413,325.008,1.501,563.344,6.13,18.401,48.489,66.721,319.453,296.084,151.735,858.975,999.078,453.716,43.613,254.122,30.21
4-16:00,17.8,16.625,78.367,1276.082,202.744,360.127,329.266,1.488,698.486,6.126,18.596,49.881,75.296,321.658,297.088,180.438,1017.333,1052.785,433.089,54.675,251.747,30.32
4-18:00,15.5,15.425,92.142,1289.992,124.655,357.601,326.656,1.627,685.114,6.14,18.599,50.658,75.974,319.57,296.014,163.066,764.699,1140.294,0.0,52.051,252.792,30.3
4-20:00,17.43,13.25,100.322,1301.675,241.529,359.91,328.609,1.418,690.196,6.15,18.597,48.848,73.78,321.33,297.975,156.148,863.677,918.058,0.0,50.869,252.143,30.54
4-22:00,20.55,13.775,88.829,1293.196,419.014,357.713,326.514,1.182,603.424,6.13,18.598,48.54,70.556,320.379,296.539,148.154,862.203,899.259,283.371,45.403,252.637,30.3
5-00:00,25.56,14.9,84.953,1289.167,373.726,358.028,326.809,1.265,568.074,6.207,18.595,48.322,63.684,320.797,296.457,147.131,860.372,1014.646,149.973,43.781,252.652,31.796
5-02:00,25.3,15.225,82.03,1280.837,312.879,358.944,327.582,1.335,615.58,6.147,18.712,48.818,72.743,321.206,296.893,164.746,965.018,1043.596,213.414,49.987,251.192,30.595
5-04:00,20.54,15.725,81.352,1288.755,317.081,360.798,327.891,1.378,652.608,6.171,18.83,48.736,72.265,321.066,297.332,169.223,1057.718,1059.223,202.14,51.86,250.917,30.831
5-06:00,17.86,15.718,83.52,1295.945,280.017,362.931,329.464,1.439,670.061,6.184,18.902,49.477,74.47,322.398,296.594,180.196,1066.467,1103.372,208.015,53.858,251.032,30.788
5-10:00,19.1,14.758,86.334,1280.625,345.457,363.033,327.42,1.429,661.966,6.173,19.005,48.409,71.619,322.223,297.373,162.711,1020.08,1091.128,235.328,51.462,251.482,30.658
5-13:00,21.6,15.225,83.837,1292.488,338.941,356.177,325.201,1.498,652.608,6.175,19.296,48.634,72.87,322.118,297.661,162.38,1073.994,1153.335,201.956,49.873,250.531,30.711
5-15:00,19.05,15.717,81.682,1290.579,239.625,359.412,325.385,1.503,681.447,6.17,19.457,48.3,73.002,322.368,295.601,171.258,985.053,1153.479,272.387,53.28,250.165,31.04
5-17:00,18.81,15.482,83.409,1297.002,257.426,358.903,327.3,1.509,683.329,6.153,19.495,47.418,71.39,322.235,296.368,171.462,1015.299,1161.728,279.202,53.977,250.333,30.566
5-19:00,17.9,15.817,82.199,1282.997,290.461,360.266,331.407,1.621,699.436,6.161,19.493,48.964,74.935,322.732,295.572,177.613,1004.109,1132.855,297.94,54.425,250.344,30.528
5-21:00,16.7,16.25,79.768,1286.259,274.516,359.686,330.501,1.633,691.925,6.132,19.491,48.49,73.867,321.979,294.876,171.309,971.862,1126.428,289.993,54.573,250.699,30.546
5-23:00,16.8,15.8,91.179,1288.661,351.83,359.432,331.081,1.619,690.551,6.21,19.346,48.833,73.317,322.195,294.992,172.746,949.28,1144.151,102.033,54.87,250.582,30.38
6-01:00,15.8,14.05,108.104,1292.741,262.802,361.141,330.776,1.548,700.571,6.22,19.295,49.076,74.518,322.518,293.861,179.678,1090.372,1048.482,115.88,55.439,250.536,31.41
6-03:00,18.4,11.817,87.893,1268.595,384.941,359.381,328.182,1.253,620.819,6.207,19.194,47.907,68.653,322.267,298.114,159.595,1013.265,985.213,0.0,46.75,250.958,31.6
6-05:00,23.2,16.1,81.242,1283.626,340.045,357.163,324.449,1.501,536.489,6.22,19.193,47.137,60.968,321.448,295.154,146.406,1012.146,1040.654,0.0,40.838,252.286,31.66
6-07:00,19.78,16.283,80.291,1290.006,197.719,358.333,325.1,1.492,628.143,6.12,19.291,47.721,67.361,321.174,293.312,160.638,1122.11,1120.951,309.598,54.99,250.74,30.79
6-09:00,19.02,15.9,82.638,1292.604,218.707,362.036,330.491,1.546,695.383,6.14,19.206,47.821,74.131,322.848,294.929,174.603,1132.181,1145.09,278.136,54.438,250.063,32.84
6-11:00,17.35,15.817,80.424,1284.11,63.911,361.202,330.145,1.591,704.233,6.155,19.148,46.964,72.722,322.656,295.148,175.455,1078.775,1134.439,281.897,53.362,250.022,30.305
6-13:00,18.69,15.792,82.336,1285.124,105.54,359.788,329.403,1.532,686.94,6.19,19.3,47.054,69.772,321.931,295.444,166.616,1036.661,1126.588,284.877,52.481,250.048,30.16
6-15:00,17.79,15.342,84.464,1295.815,101.126,359.076,330.339,1.586,688.822,6.14,19.196,47.663,71.868,321.778,294.727,175.277,985.697,1106.146,201.505,53.343,250.271,30.21
6-17:00,19.32,13.933,92.873,1294.028,215.022,358.547,330.216,1.476,684.855,6.088,19.197,48.103,72.89,321.805,295.425,173.204,1092.915,1102.78,182.006,52.367,250.302,30.324
6-18:00,16.72,13.958,92.424,1295.482,282.313,357.367,328.813,1.404,677.988,6.089,19.201,46.953,70.606,320.947,294.5,166.972,1037.476,1080.11,300.083,52.037,250.032,29.933
6-20:00,22.1,14.0,92.32,1297.863,346.952,354.59,326.076,1.356,619.751,6.13,19.106,46.058,65.795,319.782,296.444,152.523,970.438,1049.396,166.084,43.421,250.271,30.619
6-22:00,25.1,15.075,80.024,1281.051,343.214,354.905,325.323,1.377,618.276,6.18,19.105,46.976,59.783,320.077,295.551,157.611,901.062,1069.602,309.348,46.209,250.821,30.37
7-00:00,24.16,16.683,76.753,1280.487,267.235,355.892,327.226,1.678,621.684,6.145,19.179,48.008,64.686,320.424,295.821,159.735,900.706,1085.73,424.195,48.975,250.729,30.415
7-02:00,18.33,16.325,75.644,1234.263,158.626,358.079,330.166,1.65,700.063,6.13,19.289,48.317,73.429,320.512,293.925,177.287,863.677,1093.523,445.041,58.004,250.226,30.36
7-04:00,15.77,14.517,91.178,1243.059,169.592,359.808,332.637,1.588,731.394,6.135,19.288,48.454,74.091,321.767,293.451,183.506,746.032,1147.552,38.317,59.564,249.763,29.95
7-06:00,14.39,11.642,104.759,1244.014,198.128,361.416,333.614,1.466,717.305,6.13,19.186,48.4,74.93,323.022,294.487,185.172,846.029,970.157,84.701,56.733,249.982,30.54
7-08:00,19.93,12.125,98.732,1233.323,270.386,353.542,326.992,1.3,613.139,6.108,19.161,47.143,69.045,319.779,296.94,163.067,973.388,1003.946,41.078,49.735,251.223,30.218
7-19:00,20.75,12.967,93.963,1194.181,180.202,357.385,326.355,1.424,653.473,6.073,19.581,48.855,68.084,320.344,295.57,165.84,944.202,1112.31,0.0,53.432,248.735,29.81
7-21:00,22.21,12.342,91.188,1186.963,243.359,361.581,325.371,1.447,611.877,6.11,19.092,48.324,66.382,323.43,295.814,157.677,661.041,1118.696,259.029,50.812,249.298,30.45
7-23:00,24.8,14.3,78.926,1190.47,245.643,365.586,331.63,1.468,543.235,6.11,18.046,48.004,64.783,326.293,296.859,150.357,702.291,1118.37,415.119,44.262,249.552,30.59
8-01:00,23.12,13.558,85.718,1162.192,160.708,366.939,333.634,1.691,549.611,5.919,17.906,47.71,63.877,327.126,298.789,152.307,728.586,1227.757,414.008,51.295,250.46,30.29
8-03:00,17.81,14.375,83.036,1193.646,111.753,367.377,333.37,1.71,642.588,5.89,17.979,48.222,72.265,326.828,299.157,170.52,746.643,1246.745,486.586,52.135,251.594,30.29
8-06:00,16.9,14.183,101.469,1161.818,221.039,369.503,331.671,1.522,607.34,5.94,17.762,48.316,72.488,329.499,300.599,165.496,727.315,1254.303,304.613,51.717,251.63,29.9
8-08:00,21.4,14.956,87.255,1092.148,284.218,368.547,325.191,1.747,538.777,6.0,17.508,47.814,64.096,328.853,303.337,145.185,493.856,1249.336,307.808,43.257,252.937,29.43
8-11:00,16.5,11.875,97.958,1084.886,0.0,380.662,333.706,1.623,613.376,6.0,17.415,48.114,71.917,329.429,303.773,174.069,709.869,1251.43,261.504,63.332,248.751,30.31
8-17:00,19.2,14.183,85.406,1211.339,354.5,366.827,321.326,1.478,562.029,6.11,17.216,44.938,69.674,329.238,301.817,116.333,819.783,1247.445,282.044,50.032,248.39,30.21
8-19:00,24.13,14.15,91.197,1290.44,219.669,364.65,326.87,1.575,476.929,6.11,17.109,44.509,55.521,328.312,302.081,145.757,862.711,1301.713,134.728,53.498,251.035,30.13
8-22:00,22.3,13.242,81.087,1253.469,299.795,369.828,332.648,1.662,563.039,6.135,17.109,46.068,66.548,331.427,305.347,164.67,663.686,1293.743,375.268,52.562,251.823,29.85
9-00:00,18.0,14.933,83.035,1295.345,236.402,369.869,332.882,1.675,578.501,6.13,17.108,45.616,68.399,331.873,305.709,170.457,729.248,1291.578,493.116,50.624,251.716,30.12
9-02:00,18.5,16.356,84.712,1293.269,167.847,368.17,332.627,1.689,606.323,6.14,17.108,46.906,68.023,329.719,304.627,176.218,783.01,1293.493,490.535,56.717,251.63,30.52
9-04:00,16.3,15.367,84.01,1290.954,174.06,368.74,329.677,1.648,606.679,6.13,17.065,46.573,71.888,329.404,303.486,165.179,858.439,1319.788,480.61,57.561,251.492,30.34
9-06:00,16.2,14.533,89.558,1301.573,267.787,369.879,327.704,1.623,593.811,6.13,17.026,47.625,73.155,331.063,305.413,174.069,931.782,1319.036,375.503,54.777,251.212,30.13
9-08:00,16.94,13.975,92.824,1284.841,218.649,368.587,325.13,1.513,588.678,6.151,16.908,47.771,72.634,330.272,305.202,174.471,894.755,1318.726,149.118,53.081,251.716,30.57
9-09:00,20.24,13.842,93.617,1296.589,294.893,369.065,325.161,1.604,568.227,6.17,16.908,46.339,71.222,330.891,305.865,173.865,806.406,1320.349,134.57,48.982,252.123,30.25
9-11:00,24.12,14.983,87.836,1280.935,257.195,368.658,321.295,1.551,548.95,6.238,16.91,45.331,64.422,330.875,304.757,161.973,868.255,1321.412,115.828,49.669,252.423,30.21
9-13:00,20.6,14.142,91.753,1297.544,256.127,375.047,321.844,1.52,535.37,6.23,16.913,45.495,66.207,330.043,303.833,164.301,879.394,1319.599,142.545,50.253,252.453,30.39
9-16:00,21.8,14.475,89.66,1297.833,268.748,385.514,324.367,1.65,553.375,6.1,16.913,46.222,69.518,330.348,304.077,173.98,925.984,1319.664,334.114,52.176,252.357,30.01
9-19:00,19.8,12.558,94.352,1184.119,297.071,399.135,319.576,1.451,570.058,6.19,16.911,44.198,67.667,330.848,304.616,165.178,906.962,1311.177,25.494,50.528,252.092,30.7
9-21:00,24.32,13.083,88.91,1192.879,318.006,364.081,308.559,1.523,504.852,6.128,16.821,43.734,61.054,327.346,304.363,147.589,804.423,1320.225,0.0,43.725,253.176,31.13
9-23:00,23.22,13.883,89.165,1202.451,236.865,352.606,315.395,1.484,500.071,6.13,16.856,43.395,59.05,327.819,303.624,143.035,881.661,1320.164,174.332,45.793,253.156,31.56
10-01:00,24.81,13.8,85.33,1177.558,237.025,359.333,318.998,1.486,533.539,6.103,16.91,44.688,64.05,328.095,303.434,156.479,812.306,1319.799,301.566,47.217,252.52,31.26
10-03:00,23.23,13.408,87.0,1166.519,253.65,362.453,328.05,1.523,538.051,6.093,16.91,45.036,65.881,329.811,303.801,160.507,856.048,1318.977,305.345,48.037,252.549,30.99
10-06:00,22.15,12.555,94.522,1186.677,256.127,360.113,314.622,1.482,533.996,6.049,16.968,45.371,64.02,329.868,304.311,156.046,979.381,1345.628,358.12,45.544,252.626,31.41
10-09:00,23.9,13.109,94.739,1203.974,243.973,359.607,310.754,1.528,507.668,6.097,16.968,45.41,60.505,329.782,303.549,145.084,884.684,1344.64,263.584,46.437,253.075,30.91
10-11:00,22.88,13.058,90.864,1186.527,225.757,360.327,316.188,1.503,517.272,6.05,17.061,45.37,60.04,329.851,303.939,146.673,898.722,1344.346,439.608,46.053,252.985,30.82
10-13:00,23.67,12.483,94.919,1184.907,284.859,360.734,315.12,1.513,520.67,6.093,17.168,45.304,61.695,329.95,303.678,144.93,973.795,1345.998,439.382,44.248,252.804,30.93
10-16:00,23.75,12.667,93.45,1178.252,276.955,347.286,310.97,1.523,513.956,6.068,17.165,45.954,61.141,330.117,304.006,148.174,1027.201,1357.271,381.643,45.264,252.947,30.86
10-18:00,21.35,13.242,94.924,1215.824,251.125,345.485,308.905,1.517,520.162,6.099,17.201,46.032,60.398,329.865,304.102,147.906,972.167,1362.245,219.321,45.439,252.835,31.22
10-20:00,21.33,13.542,87.902,1242.343,243.256,346.401,311.774,1.498,511.159,6.097,17.217,46.092,60.673,329.793,303.925,145.655,933.003,1364.422,392.4,47.262,252.82,30.59
10-22:00,21.33,14.292,89.791,1283.265,271.792,349.259,318.976,1.587,525.553,6.113,17.248,46.058,61.828,332.338,307.427,146.228,986.002,1375.245,392.864,48.921,252.693,31.08
11-00:00,20.07,14.267,90.302,1288.314,227.163,349.921,318.996,1.596,563.802,6.14,17.259,46.516,68.735,333.052,309.352,158.196,1050.801,1392.868,220.672,52.168,252.398,31.39
11-03:00,20.35,14.217,90.137,1284.458,387.434,351.355,321.722,1.542,572.55,6.186,17.256,46.649,69.376,333.223,309.651,160.473,1005.432,1370.567,424.302,48.578,252.148,31.15
11-05:00,21.25,14.192,91.907,1286.693,346.418,349.544,318.284,1.598,551.442,6.18,17.254,46.955,68.053,332.175,308.95,158.412,1038.187,1366.592,278.115,50.512,252.504,30.47
11-09:00,23.17,15.542,82.392,1280.501,334.242,348.771,316.87,1.596,558.715,6.22,17.261,46.713,68.318,331.51,309.023,156.631,859.558,1367.96,300.409,49.837,252.626,30.48
11-11:00,22.7,15.517,83.008,1288.01,306.886,350.155,322.485,1.59,568.752,6.17,17.255,46.387,67.678,331.854,309.346,160.061,910.013,1381.389,441.934,51.466,252.216,29.59
11-14:00,21.27,11.383,84.165,981.92,342.858,352.315,322.292,1.553,592.539,6.25,17.167,47.383,73.134,333.596,310.487,171.004,940.938,1375.202,189.529,52.6,251.797,30.4
11-16:00,24.41,11.242,80.458,954.092,365.583,342.403,302.669,1.556,546.509,6.236,17.166,47.361,68.806,328.581,306.169,157.026,734.945,1384.979,143.417,39.7,252.479,30.15
11-18:00,20.37,10.967,99.982,998.153,302.251,344.295,305.08,1.604,471.537,6.261,17.166,46.894,57.26,330.293,304.958,136.358,1067.28,1346.973,237.346,40.713,252.545,30.4
11-20:00,18.83,10.967,94.472,1036.043,314.321,340.338,287.705,1.515,473.012,6.259,17.164,46.954,56.395,330.224,305.311,136.167,922.424,1356.425,111.716,41.256,252.474,30.35
11-22:00,21.2,11.292,92.194,1041.02,388.538,341.538,297.247,1.457,405.111,6.304,17.166,47.381,51.192,328.289,305.824,113.922,838.094,1292.599,353.625,38.642,253.161,30.57
12-01:00,19.9,11.333,87.405,1033.565,369.383,343.515,302.364,1.592,452.718,6.296,17.254,47.84,55.963,330.842,308.789,128.701,783.417,1293.108,390.049,41.596,252.428,30.73
12-03:00,22.0,11.858,93.199,1171.206,366.787,345.261,310.115,1.513,428.202,6.34,17.254,48.216,52.494,330.589,309.152,122.011,816.02,1294.891,391.607,42.08,253.206,30.24
12-05:00,19.0,12.425,92.905,1272.03,316.226,345.811,307.806,1.633,469.045,6.33,17.254,46.76,60.307,329.997,308.072,137.719,865.661,1292.216,391.645,44.33,253.323,30.31
12-07:00,20.5,13.358,97.662,1304.597,377.678,347.672,313.147,1.546,496.46,6.34,17.255,46.85,60.119,332.615,308.575,141.076,997.904,1334.703,389.497,46.206,252.423,30.43
12-09:00,20.9,15.167,84.64,1283.706,339.44,354.803,311.041,1.635,532.419,6.34,17.255,47.141,65.561,332.924,307.626,145.299,832.906,1344.708,388.911,49.524,251.833,30.29
31-01:00,27.6,16.81,79.022,1328.36,341.327,351.05,329.067,1.549,537.201,6.076,16.543,43.954,60.012,330.823,304.879,163.202,665.975,1297.317,241.182,46.603,251.406,29.11
31-03:00,23.6,16.478,81.011,1334.877,213.527,350.938,331.142,1.604,623.362,6.054,16.562,45.592,68.496,328.875,302.254,181.487,767.853,1324.461,239.478,54.846,250.312,29.02
31-06:00,22.65,14.1,91.887,1307.852,288.989,352.321,331.162,1.468,625.549,6.143,16.62,45.797,71.298,329.662,301.539,179.886,837.178,1315.111,234.047,53.805,249.971,29.22
31-08:00,24.7,13.85,96.208,1334.892,362.511,352.372,327.358,1.515,553.172,6.199,16.625,45.541,64.249,332.264,305.419,166.12,909.81,1318.725,180.375,48.842,251.121,29.21
31-10:00,24.4,14.117,85.998,1330.104,394.234,348.089,319.027,1.429,540.558,6.209,16.661,45.258,62.179,329.831,302.652,163.258,827.107,1312.372,132.163,49.446,251.406,29.292
4-16:00,17.8,16.625,78.367,1276.082,202.744,360.127,329.266,1.488,698.486,6.126,18.596,49.881,75.296,321.658,297.088,180.438,1017.333,1052.785,433.089,54.675,251.747,30.32
10-16:00,23.75,12.667,93.45,1178.252,276.955,347.286,310.97,1.523,513.956,6.068,17.165,45.954,61.141,330.117,304.006,148.174,1027.201,1357.271,381.643,45.264,252.947,30.86
9-19:00,19.8,12.558,94.352,1184.119,297.071,399.135,319.576,1.451,570.058,6.19,16.911,44.198,67.667,330.848,304.616,165.178,906.962,1311.177,25.494,50.528,252.092,30.7
9-21:00,24.32,13.083,88.91,1192.879,318.006,364.081,308.559,1.523,504.852,6.128,16.821,43.734,61.054,327.346,304.363,147.589,804.423,1320.225,0.0,43.725,253.176,31.13
